Time,CG 1 Volt,CG 2 Volt,CG 3 Volt,CG 4 Volt,CG 5 Volt,CG 6 Volt,CG 7 Volt,CG 8 Volt,CG 9 Volt,CG 10 Volt,CG 11 Volt,CG 12 Volt,CG 13 Volt,CG 14 Volt,CG 15 Volt,CG 16 Volt
1414,3.4675,3.4725,3.4788,3.4725,3.4775,3.4725,3.4775,3.4763,3.4863,3.4813,3.4875,3.485,3.48,3.4813,3.4788,3.4825
1414.2,3.4663,3.475,3.4775,3.4725,3.4788,3.4737,3.4788,3.4763,3.4863,3.4825,3.4875,3.485,3.48,3.48,3.4788,3.4813
1414.4,3.4663,3.4725,3.4775,3.4737,3.4775,3.4725,3.4788,3.475,3.4863,3.485,3.485,3.485,3.4813,3.48,3.4775,3.4813
1414.6,3.4663,3.4737,3.4775,3.4725,3.4775,3.4737,3.4775,3.4763,3.4863,3.4838,3.4863,3.4863,3.48,3.4788,3.4788,3.4825
1414.8,3.4688,3.4725,3.4763,3.4725,3.4775,3.4725,3.4788,3.475,3.4863,3.485,3.4838,3.4863,3.48,3.48,3.4788,3.4813
1415,3.4688,3.4737,3.4763,3.4725,3.4788,3.4725,3.4788,3.4763,3.4863,3.4825,3.4875,3.485,3.4788,3.4788,3.48,3.4813
1415.2,3.4675,3.4725,3.4763,3.4725,3.4775,3.4737,3.4788,3.4763,3.4863,3.4838,3.4875,3.4863,3.48,3.4813,3.48,3.4813
1415.4,3.4675,3.4725,3.4775,3.4737,3.4788,3.4737,3.4788,3.475,3.4863,3.485,3.485,3.485,3.48,3.48,3.4788,3.4813
1415.6,3.4663,3.4725,3.4763,3.4725,3.4788,3.4725,3.4788,3.4763,3.4863,3.4825,3.4875,3.4863,3.4788,3.4813,3.4788,3.4813
1415.8,3.4675,3.4725,3.4775,3.4712,3.4775,3.4737,3.4775,3.4763,3.485,3.4838,3.485,3.4838,3.4813,3.48,3.48,3.4825
1416,3.4663,3.4737,3.4775,3.4725,3.4788,3.4725,3.4775,3.4763,3.4863,3.4825,3.485,3.485,3.48,3.4788,3.4788,3.4838
1416.2,3.4663,3.4725,3.4763,3.4725,3.4788,3.4737,3.4788,3.4763,3.4863,3.4825,3.4875,3.485,3.4788,3.4813,3.4788,3.4813
1416.4,3.4675,3.4737,3.4763,3.4725,3.4788,3.4725,3.4775,3.475,3.4863,3.485,3.4863,3.485,3.4813,3.48,3.4788,3.4813
1416.6,3.4675,3.4725,3.4775,3.4712,3.4775,3.4737,3.4775,3.4763,3.4863,3.4825,3.485,3.485,3.4813,3.48,3.4775,3.4813
1416.8,3.4663,3.4737,3.4763,3.4725,3.4775,3.4737,3.4763,3.4763,3.485,3.4825,3.4863,3.4838,3.4813,3.48,3.4788,3.4825
1417,3.4675,3.4725,3.4763,3.4737,3.4775,3.4737,3.4788,3.4763,3.485,3.4838,3.4863,3.485,3.4813,3.48,3.4788,3.4825
1417.2,3.4663,3.4737,3.4775,3.4725,3.4788,3.4725,3.4775,3.4763,3.485,3.4838,3.4863,3.4838,3.48,3.48,3.4788,3.4825
1417.4,3.4663,3.4725,3.4763,3.4725,3.4775,3.4737,3.48,3.475,3.4863,3.4825,3.4863,3.4838,3.48,3.4813,3.4788,3.4813
1417.6,3.4675,3.4712,3.475,3.4712,3.4788,3.475,3.4788,3.4737,3.4863,3.4813,3.4875,3.485,3.4788,3.48,3.4788,3.4813
1417.8,3.4663,3.4737,3.4775,3.4725,3.4788,3.4725,3.4788,3.475,3.4863,3.4838,3.485,3.4838,3.4813,3.48,3.4788,3.4813
1418,3.4663,3.4725,3.4775,3.4712,3.4775,3.4725,3.4775,3.4775,3.4863,3.485,3.4838,3.4838,3.48,3.48,3.4775,3.4825
1418.2,3.4663,3.4737,3.4763,3.4725,3.4775,3.4725,3.4775,3.4763,3.485,3.4825,3.4863,3.4838,3.48,3.48,3.4788,3.4825
1418.4,3.4663,3.4725,3.4775,3.4725,3.4775,3.4737,3.4775,3.4763,3.4875,3.4838,3.4863,3.4863,3.4788,3.4788,3.4788,3.48
1418.6,3.4675,3.4725,3.4763,3.4737,3.4788,3.4737,3.4788,3.4763,3.4863,3.4825,3.485,3.485,3.4788,3.48,3.48,3.4813
1418.8,3.4663,3.4725,3.4775,3.4725,3.4788,3.4737,3.4775,3.475,3.4863,3.485,3.485,3.485,3.4813,3.48,3.48,3.4825
1419,3.4675,3.4737,3.4763,3.4712,3.4775,3.4725,3.4775,3.475,3.4863,3.4825,3.4863,3.4863,3.48,3.4788,3.4788,3.4813
1419.2,3.4675,3.4737,3.4763,3.4712,3.4788,3.475,3.4788,3.475,3.4863,3.4813,3.485,3.4825,3.48,3.48,3.4775,3.4825
1419.4,3.4663,3.4725,3.475,3.4737,3.4763,3.475,3.4775,3.475,3.485,3.485,3.4838,3.4838,3.48,3.48,3.4788,3.4813
1419.6,3.4663,3.4725,3.4775,3.4725,3.4775,3.4725,3.4775,3.4763,3.4863,3.4825,3.485,3.4838,3.4788,3.4813,3.4788,3.48
1419.8,3.4663,3.4725,3.4763,3.4737,3.4775,3.4725,3.4788,3.475,3.4875,3.4825,3.485,3.485,3.48,3.4813,3.4788,3.48
1420,3.4663,3.4737,3.4775,3.4712,3.4775,3.4725,3.4775,3.4763,3.4863,3.4813,3.4875,3.4838,3.4788,3.48,3.4788,3.4813
1420.2,3.4675,3.4737,3.4775,3.4725,3.4775,3.4725,3.4775,3.475,3.4875,3.4838,3.485,3.4863,3.48,3.48,3.48,3.4813
1420.4,3.4663,3.4725,3.4763,3.4725,3.4788,3.4725,3.4775,3.475,3.4875,3.4838,3.4838,3.485,3.48,3.4788,3.4788,3.4813
1420.6,3.4663,3.4737,3.4763,3.4725,3.4788,3.4725,3.4775,3.475,3.4863,3.4825,3.4863,3.4863,3.48,3.4788,3.4788,3.4813
1420.8,3.4675,3.4712,3.4763,3.4725,3.4775,3.4737,3.4775,3.475,3.4875,3.4825,3.485,3.4863,3.48,3.4788,3.4788,3.4813
1421,3.4675,3.4725,3.475,3.4712,3.4788,3.4725,3.4788,3.4763,3.4863,3.4813,3.4875,3.4838,3.4788,3.48,3.4788,3.48
1421.2,3.4663,3.4712,3.4763,3.4737,3.4775,3.4737,3.4775,3.475,3.485,3.4825,3.485,3.4838,3.48,3.4813,3.4788,3.4813
1421.4,3.4663,3.4725,3.4775,3.4712,3.4775,3.4737,3.4775,3.4763,3.4863,3.4838,3.4838,3.485,3.4788,3.48,3.4788,3.48
1421.6,3.4663,3.4725,3.4763,3.4725,3.4775,3.4737,3.4763,3.475,3.485,3.4825,3.485,3.485,3.4788,3.4788,3.48,3.4825
1421.8,3.4663,3.4725,3.4763,3.4725,3.4788,3.4725,3.4775,3.475,3.4863,3.4813,3.4863,3.485,3.48,3.48,3.4775,3.4813
1422,3.4675,3.4725,3.4763,3.4725,3.4775,3.4737,3.4775,3.4737,3.485,3.4813,3.485,3.4838,3.48,3.48,3.4775,3.4825
